Sample	TYPE	N_READS	Estimated_Coverage
PY5035	PAIRED	49100432	73.259
PY6017	PAIRED	44883396	39.3957
PY6025	PAIRED	34746880	31.2278
PY6045	PAIRED	45334036	80.2664
PY6047	PAIRED	39708936	30.575
PY86.1	PAIRED	37911994	33.4465
PYB2	PAIRED	490078	5.38255
PYB3	PAIRED	511436	5.98151
SA05-144	PAIRED	26948994	34.1071
SA05-43	PAIRED	18998064	25.6868
San_Andrea	PAIRED	3705244	18.2931
Sar-2-20-1	PAIRED	17412404	45.1302
Sar-AD3-5	PAIRED	13138234	24.601
SC-10-120-65-2	PAIRED	12716790	39.223
SC-10-25-44-1	PAIRED	13457734	40.6644
SP0005	SINGLE	27219711	50.6
SV9610	PAIRED	15275504	28.3025
SV9623	PAIRED	14711414	27.2128
T25	PAIRED	26459274	109.327
TG0004	PAIRED	15672202	47.762
TG0032	PAIRED	23050508	65.7787
TG004	PAIRED	21287236	41.7713
TH0014	SINGLE	1353760	13.9504
TH0017	SINGLE	1195569	12.3786
TH3	PAIRED	46233676	16.0602
TN0001	PAIRED	18054148	53.9501
TN0002	PAIRED	22060530	64.3229
TN0050	PAIRED	23265592	66.7733
TN0057	PAIRED	23464804	68.9894
TN0090	PAIRED	23201756	65.6112
TR0025	PAIRED	29275078	81.9233
TW-1-1-1-B-1	PAIRED	13604646	41.1354
TW-12CY-TB1-2	PAIRED	14809928	44.053
TW-12HL-DF1-2	PAIRED	14421414	43.0353
TW-12HL-YL2-1	PAIRED	12968618	39.2475
TW-12TD-RH1-1	PAIRED	15309212	45.9935
TW-12TN-HB2-2	PAIRED	15504840	46.4754
TW-12YL-DL3-2	PAIRED	10745360	32.566
TW-12YL-DP1-1	PAIRED	11364062	34.4947
TW-12YL-TT4-1	PAIRED	17306192	33.0741
TW-2-7-2-A-1	PAIRED	14605430	43.5177
TW-6-2-2-B-1	PAIRED	15064822	45.6822
TW-6-43-1	PAIRED	17098136	50.5637
TW-CYBP1-3	PAIRED	17019656	50.9514
TW-PT1-1	PAIRED	12826746	39.2084
TW-PT3-1	PAIRED	15300420	45.9199
TW-PT6-1	PAIRED	12726220	38.1962
TW-TN4-2	PAIRED	16184598	46.9071
TZ090	PAIRED	29030294	56.0263
UG08	PAIRED	37443152	71.2274
US0031	SINGLE	29845443	55.8653
US0041	PAIRED	15974932	47.8714
US0064	PAIRED	29610322	79.2694
US0098	SINGLE	22853560	42.8806
US71	SINGLE	33879697	64.1804
VO104	PAIRED	23952700	46.8378
VO108	PAIRED	26393392	51.6509
VO113	PAIRED	28037090	54.7878
VT0027	PAIRED	14506722	44.0262
VT0030	PAIRED	18437516	55.4467
W-BEN-11	PAIRED	18133398	46.9591
W-BEN-12	PAIRED	16232752	49.0099
W-BEN-12-	PAIRED	22085678	62.024
W-BEN-9	PAIRED	18162812	46.5673
W-BFA-16-	PAIRED	20845186	53.5978
W-BKF-15	PAIRED	17728252	53.5248
W-BKF-15-	PAIRED	18719578	56.0208
W-BKF-16	PAIRED	22381814	66.0526
WD-3-1_1	PAIRED	31199114	74.4442
W-GHA-7	PAIRED	18493610	48.6928
W-GHA-7-	PAIRED	18116194	47.2077
W-MAL-17	PAIRED	22070912	53.1719
W-MAL-18	PAIRED	18839888	57.137
W-NGR-13	PAIRED	17147240	51.8591
W-NGR-14	PAIRED	18206762	54.7446
W-NGR-58	PAIRED	24456296	69.7411
W-NGR-59	PAIRED	20711692	60.9478
W-TOG-5	PAIRED	19787302	59.1629
W-TOG-5-	PAIRED	15999152	47.7586
W-TOG-6	PAIRED	17997232	54.3285
YN07205e	PAIRED	23450634	70.8857
YN072310	PAIRED	22559990	67.1081
YN072311	PAIRED	25210542	74.7898
YN072313	PAIRED	20476646	62.2559
YN08181e	PAIRED	19571044	59.6781
YN08182c	PAIRED	19652922	58.4375
YN126311	PAIRED	22693534	67.944
YN126441	PAIRED	18896500	55.2539
YN8773-19	PAIRED	16662578	49.4741
YN8773R-27	PAIRED	14200262	42.0146
ZJ00-10	PAIRED	18462380	54.8011
ZJ08-41	PAIRED	20789238	58.8997
ZJ2011-7-1	PAIRED	12404576	38.4536
ZMW18_06	PAIRED	21156762	61.5244
ZMW18_08	PAIRED	22292710	64.5856
ZMW18_10	PAIRED	21856954	63.759
ZMW18_11	PAIRED	21136318	61.7139
ZMW19_09	PAIRED	21874296	63.5864
ZMW19_13	PAIRED	20061610	58.7993
ZMW19_17	PAIRED	23981678	69.2112
ZMW20_03	PAIRED	18689380	54.8197
ZMW20_04	PAIRED	18887332	55.3906
ZMW20_07	PAIRED	21091318	61.2278
ZMW20_14	PAIRED	18766176	55.1324
ZMW20_15	PAIRED	20997076	60.4356
ZMW20_16	PAIRED	19548160	57.2064
